종목명,현재가,전일비,등락률,액면가,거래량,시가총액,영업이익,PER,ROA
삼성전자,43950,100,-0.23%,100,4637815,2623719,588867,7.3,13.83
SK하이닉스,74400,600,0.81%,5000,1673056,541634,208438,3.49,28.49
삼성전자우,36350,350,-0.95%,100,553133,299119,,6.03,
현대차,126000,2000,1.61%,5000,252713,269222,24222,23.54,0.92
NAVER,148500,500,0.34%,100,367244,244748,9425,37.72,7.02
LG화학,329500,9500,2.97%,5000,176590,232602,22461,17.52,5.63
현대모비스,241500,1000,0.42%,5000,134747,230166,20250,12.45,4.45
셀트리온,151500,1000,-0.66%,1000,424845,194430,3387,73.94,7.4
SK텔레콤,237000,500,-0.21%,500,109267,191367,12018,6.12,8.26
신한지주,40350,100,-0.25%,5000,562173,191340,44994,6.06,0.72
삼성바이오로직스,283500,2000,0.71%,2500,100332,187578,557,83.7,3.41
POSCO,207500,1500,-0.72%,5000,166366,180913,55426,10.7,2.41
LG생활건강,1150000,1000,0.09%,5000,14760,179609,10393,29.84,13.77
삼성물산,91200,2300,2.59%,100,310514,172997,11039,10.19,3.82
기아차,42350,400,0.95%,5000,603093,171671,11575,14.85,2.22
삼성SDI,246500,5000,2.07%,5000,205524,169505,7150,24.74,4.25
한국전력,25600,350,-1.35%,5000,575077,164343,-2080,-12.5,-0.64
KB금융,39000,300,-0.76%,5000,502077,163063,42675,5.33,0.67
삼성에스디에스,196000,1000,-0.51%,500,41053,151660,8774,24.1,8.36
SK이노베이션,161500,3000,-1.82%,5000,113320,149332,21176,9.16,4.86
KT&G,101500,500,0.50%,5000,162344,139352,12551,15.46,8.93
SK,197000,1500,-0.76%,200,84018,138610,46881,6.2,5.37
삼성생명,66300,300,-0.45%,500,156045,132600,25833,7.97,0.61
LG,70200,100,0.14%,5000,114796,121135,19638,6.62,8.47
엔씨소프트,531000,8000,-1.48%,500,57823,116536,6149,27.86,13.03
카카오,133000,0,0.00%,500,302961,111156,729,216.97,0.22
삼성화재,227500,1000,-0.44%,500,47228,107778,14543,10.75,1.38
S-Oil,92700,0,0.00%,2500,172705,104364,6395,41.89,1.66
LG전자,60700,100,0.17%,5000,282902,99334,27033,8.85,3.44
하나금융지주,32100,300,0.94%,5000,724311,96378,31522,4.3,0.61
고려아연,432000,5000,-1.14%,5000,24862,81518,7647,15.46,7.5
넷마블,94200,600,-0.63%,100,114097,80758,2417,42.32,3.99
우리금융지주,11550,100,-0.86%,5000,569718,78559,,,
롯데케미칼,227500,3500,1.56%,5000,77520,77977,19674,4.94,8.14
한국조선해양,108500,1000,0.93%,5000,171349,76789,-5225,-14.87,-1.65
아모레퍼시픽,124000,2000,-1.59%,500,139477,72489,4820,25.76,6.23
KT,27000,50,-0.18%,5000,286806,70500,12615,10.24,2.46
기업은행,12150,50,-0.41%,5000,606070,69856,23964,4.56,0.63
삼성전기,88300,900,-1.01%,5000,607181,65955,10181,10.44,8.35
강원랜드,28200,200,-0.70%,500,203154,60331,4307,20.29,7.06
웅진코웨이,80800,300,0.37%,500,122119,59630,5198,17.06,15.42
한온시스템,11150,50,-0.45%,100,376186,59519,4338,21.44,5.99
현대글로비스,156500,500,-0.32%,500,42503,58688,7101,13.42,5.18
KODEX 200,25645,25,-0.10%,0,2994532,57778,,,
LG유플러스,12350,50,-0.40%,5000,797030,53922,7309,11.2,3.72
현대중공업지주,322500,5000,1.57%,5000,22218,52524,8614,19.55,1.28
현대제철,36750,300,-0.81%,5000,135784,49041,10261,12.3,1.22
미래에셋대우,7340,20,0.27%,5000,974405,48320,5123,12.74,0.44
삼성중공업,7480,30,0.40%,5000,2540056,47124,-4093,-10.79,-2.76
LG디스플레이,12850,150,-1.15%,5000,898856,45979,929,-22.19,-0.58
아모레G,55200,600,-1.08%,500,51408,45517,5495,34.5,5.11
현대건설,40500,750,-1.82%,5000,371141,45099,8400,11.83,2.93
GS,46750,0,0.00%,5000,91688,43438,22098,4.9,4.62
맥쿼리인프라,11450,0,0.00%,0,308988,39966,,,
한국금융지주,71300,1200,-1.66%,5000,97158,39733,6215,8.29,0.92
한국항공우주,38900,50,-0.13%,5000,353902,37918,1464,66.27,1.6
에스원,99500,2000,-1.97%,500,40261,37809,1991,36.72,6.31
롯데쇼핑,133000,2000,1.53%,5000,101312,37624,5970,-6.88,-1.72
삼성카드,32150,550,-1.68%,5000,59858,37249,4786,10.79,1.5
두산밥캣,35800,100,-0.28%,500,60700,35889,4590,13.57,4.19
한국타이어앤테크놀로지,28950,400,1.40%,500,157396,35862,7027,6.87,5.49
한국가스공사,38300,50,-0.13%,5000,83733,35356,12769,6.94,1.37
CJ제일제당,229500,2000,-0.86%,5000,33226,34549,8327,4.24,5.09
오리온,87100,2300,-2.57%,500,88243,34436,2822,24.62,6.21
NH투자증권,12200,50,0.41%,5000,445017,34332,5401,10.15,0.74
롯데지주,32600,700,2.19%,200,209646,34200,984,18.67,0.45
DB손해보험,47850,950,-1.95%,500,99305,33878,7207,6.36,1.08
BGF리테일,195500,1000,-0.51%,1000,13256,33790,1895,21.91,11.17
대림산업,97000,500,-0.51%,5000,71841,33756,8454,5.79,5.17
휠라코리아,55000,500,0.92%,1000,1523042,33613,3571,23.41,6.58
한미약품,283000,4500,-1.57%,2500,21736,32862,836,132,2.04
CJ대한통운,143000,3000,2.14%,5000,30476,32622,2427,86.14,0.73
이마트,115500,0,0.00%,5000,162151,32197,4628,7.15,2.9
삼성증권,34900,250,-0.71%,5000,173027,31166,4581,9.33,0.88
호텔신라,78900,1300,-1.62%,5000,250466,30967,2091,28.61,4.88
포스코케미칼,50600,1900,3.90%,500,367440,30860,1063,22.62,14.89
제일기획,25900,0,0.00%,200,171711,29796,1811,22.96,5.98
삼성엔지니어링,15150,200,-1.30%,5000,448581,29694,2061,43.29,1.45
현대차2우B,81300,100,-0.12%,5000,38509,29663,,15.19,
메리츠종금증권,4775,60,-1.24%,1000,1008329,29477,5323,7.93,1.57
GS리테일,38050,1250,-3.18%,1000,146883,29298,1803,24.3,2.6
쌍용양회,5760,50,-0.86%,1000,549295,29022,2469,19.86,4.24
대우조선해양,26650,100,0.38%,5000,124778,28570,10248,8.28,2.74
유한양행,221000,2000,0.91%,5000,24825,28237,501,50.03,2.73
한화케미칼,17450,300,-1.69%,5000,733435,28178,3543,15.4,1.11
TIGER 200,25650,30,-0.12%,0,1325458,27561,,,
한미사이언스,41750,100,-0.24%,500,51014,27030,262,150.18,1.94
GS건설,31650,500,-1.56%,5000,194951,25296,10645,4.1,4.57
KODEX 레버리지,10765,15,-0.14%,0,13465194,24523,,,
팬오션,4500,20,0.45%,1000,566911,24056,2039,15.79,3.71
LG이노텍,100500,500,0.50%,5000,133757,23785,2635,14.58,2.8
CJ,80100,700,-0.87%,5000,41249,23371,13325,10.35,2.88
KCC,219500,1500,0.69%,5000,12107,23172,2435,-98.3,-0.25
신세계,226000,0,0.00%,5000,36307,22250,3974,9.31,2.68
포스코인터내셔널,17850,150,-0.83%,5000,101248,22022,4726,14.19,1.22
금호석유,71800,100,0.14%,5000,60992,21876,5546,4.9,10.94
대한항공,22850,200,-0.87%,5000,223520,21672,6403,-11.36,-0.74
BNK금융지주,6520,50,-0.76%,5000,342684,21251,7498,4.23,0.56
한화생명,2440,20,0.83%,5000,1527571,21192,6502,5.1,0.35
현대엘리베이,77900,1000,-1.27%,5000,248644,21188,1431,260.54,0.06
메리츠화재,18450,800,-4.16%,500,142584,20974,3127,8.84,1.22
현대해상,23300,1050,-4.31%,500,419959,20830,5335,5.58,0.88
오뚜기,569000,12000,-2.07%,5000,3524,20514,1517,12.39,8.5
오렌지라이프,24850,550,2.26%,1000,269011,20377,4130,6.55,0.97
한화에어로스페이스,38500,750,1.99%,5000,316694,19851,532,62.2,0.75
일진머티리얼즈,42600,1500,3.65%,500,777105,19643,487,47.49,6.15
대웅제약,162500,1000,-0.61%,2500,14595,18828,246,-124.24,-1.27
효성,87100,700,0.81%,5000,88145,18353,1435,0.6,32.72
두산,100500,1000,-0.99%,5000,51188,18329,12159,-21.03,-1.18
메리츠금융지주,12750,350,-2.67%,500,64941,17879,8024,5.72,1.36
동서,17800,200,-1.11%,500,37842,17747,432,15.23,8.54
한화,23650,100,0.42%,5000,175448,17728,18061,4.94,0.49
한진칼,29500,50,-0.17%,2500,215501,17455,1088,-43.19,-0.63
현대차우,71300,300,0.42%,5000,12225,17366,,13.32,
대우건설,4060,20,-0.49%,5000,390287,16874,6287,5.65,3.4
더존비즈온,56800,800,-1.39%,500,93593,16854,540,40.06,15.38
SKC,44750,1300,2.99%,5000,339504,16797,2011,13.93,3.76
현대백화점,70900,500,-0.70%,5000,35374,16592,3567,6.94,4.18
현대미포조선,41000,650,1.61%,5000,186469,16376,709,19.27,2.05
OCI,68100,1000,-1.45%,5000,71585,16241,1587,15.65,1.77
영원무역,35550,200,-0.56%,500,79374,15753,2010,13.94,4.53
HDC현대산업개발,35600,500,-1.39%,5000,63873,15642,3179,4.55,
만도,32900,250,-0.75%,1000,300964,15449,1974,14.62,2.54
하이트진로,22000,50,-0.23%,5000,203733,15429,904,70.51,0.64
한샘,63400,100,0.16%,1000,58180,14921,560,16.58,9.39
LG생활건강우,700000,4000,0.57%,5000,1614,14698,,18.17,
키움증권,65900,500,-0.75%,5000,38490,14564,2890,8.5,1.28
LS,44300,400,-0.89%,5000,31377,14265,5091,3.53,4.77
한전KPS,31350,0,0.00%,200,72688,14108,1915,8.74,13.01
현대로템,16550,200,-1.19%,5000,330607,14068,-1962,-4.68,-7.62
농심,229500,2000,-0.86%,5000,7707,13960,886,16.56,3.38
KODEX 단기채권,101310,10,0.01%,0,16277,13790,,,
이노션,68400,800,-1.16%,500,15039,13680,1182,17.8,5.49
한국테크놀로지그룹,14650,150,-1.01%,500,23192,13627,2115,6.58,6.41
한올바이오파마,25700,300,-1.15%,500,156500,13426,55,407.94,1.99
LS산전,44450,750,-1.66%,5000,55361,13335,2050,10.14,5.67
SK네트웍스,5290,80,-1.49%,2500,569730,13129,1379,182.41,0.1
신세계인터내셔날,183500,4500,2.51%,5000,38685,13102,555,22.79,5.97
두산인프라코어,6120,40,-0.65%,5000,386985,12739,8481,5.17,3.7
LG화학우,165500,2000,1.22%,5000,10687,12725,,8.8,
녹십자,108000,1000,-0.92%,5000,18087,12621,502,36.66,2
F&F,81700,0,0.00%,500,53917,12582,915,11.52,24.4
아시아나항공,5510,50,-0.90%,5000,1277393,12190,282,-5.72,-2.33
현대오토에버,57400,1300,2.32%,500,27406,12054,702,21.96,6.76
금호타이어,4160,55,-1.30%,5000,288090,11950,-789,-5.29,-4.19
NHN,61000,100,0.16%,500,50740,11935,686,13.36,4.54
두산중공업,5890,10,0.17%,5000,529182,11906,10017,-1.61,-1.69
GKL,19100,200,-1.04%,500,79601,11814,1051,15.19,
DGB금융지주,6870,80,-1.15%,5000,328403,11620,3366,3.03,0.67
태광산업,1035000,8000,-0.77%,5000,392,11524,3315,5.38,5.79
현대위아,42200,50,-0.12%,5000,101982,11476,50,-20.66,-0.78
KBSTAR 200,25640,30,-0.12%,0,571118,11410,,,
롯데정밀화학,43500,650,-1.47%,5000,62556,11223,2107,5.22,12.87
현대홈쇼핑,93200,1600,-1.69%,5000,10150,11184,1123,6.71,7.53
KODEX 코스닥150 레버리지,6600,100,-1.49%,0,23079416,11075,,,
현대그린푸드,11300,150,-1.31%,500,76549,11041,1372,10.7,4.52
코오롱인더,40750,750,-1.81%,5000,53687,10994,1449,18.11,0.76
영풍,592000,4000,-0.67%,5000,793,10905,-1089,9.85,0.97
KODEX 종합채권(AA-이상)액티브,109425,125,-0.11%,0,45021,10884,,,
JB금융지주,5460,100,-1.80%,5000,210747,10755,4168,3.73,0.68
현대상선,3315,70,-2.07%,5000,473104,10494,-5587,-1.31,-20.47
롯데칠성,131000,3500,-2.60%,500,17472,10471,850,-23.91,-1.47
에스엘,21600,0,0.00%,500,59874,10412,167,24.3,1.93
TRUE 코스피 양매도 5% OTM ETN,10455,0,0.00%,0,203398,10340,,,
더블유게임즈,56500,900,-1.57%,500,39358,10317,1358,11.6,8.8
한국콜마,43550,750,-1.69%,500,269880,9965,900,22.29,2.58
오리온홀딩스,15600,250,-1.58%,500,30249,9773,2305,17.35,2.74
KODEX 삼성그룹,6010,10,0.17%,0,1253059,9640,,,
롯데제과,150000,1000,-0.66%,500,4310,9625,644,68.59,0.38
태영건설,12550,300,-2.33%,500,104896,9588,4635,5.23,5.03
코리안리,7780,30,0.39%,500,157423,9365,1436,9.1,0.99
KODEX 200TR,8045,0,0.00%,0,936654,9328,,,
아이에스동서,30000,550,-1.80%,500,59381,9268,3874,3.77,10.95
대웅,15700,350,-2.18%,500,39521,9128,858,30.54,2.08
한솔케미칼,80200,600,-0.74%,5000,21470,9059,936,12.86,8.94
다우기술,20150,0,0.00%,500,25657,9041,3239,8.19,1.43
녹십자홀딩스,19050,100,0.53%,500,23525,8959,493,51.07,0.75
KODEX 단기채권PLUS,101365,5,0.00%,0,33884,8942,,,
넥센타이어,9120,20,0.22%,500,96810,8907,1824,9.18,3.43
쿠쿠홈시스,39650,1200,-2.94%,100,38384,8896,675,25.85,8.11
후성,9580,220,2.35%,500,5284185,8872,396,28.77,7.41
부광약품,13900,500,-3.47%,500,203777,8831,351,6.06,39.92
동원시스템즈,34300,650,-1.86%,5000,13775,8787,788,16.62,5.52
휴켐스,21350,350,-1.61%,1000,40037,8728,1392,8.35,12.04
롯데관광개발,12450,50,0.40%,500,31649,8592,30,-6.08,-24.85
종근당,81900,900,-1.09%,2500,8150,8493,757,20.03,6.01
TIGER 단기통안채,101140,5,0.00%,0,20982,8315,,,
애경산업,31500,1250,-3.82%,1000,201851,8299,792,13.08,19.27
동원F&B,215000,2500,-1.15%,5000,7767,8297,872,14.63,4.09
동원산업,224500,3000,-1.32%,5000,2606,8256,1777,10.93,2.76
KODEX MSCI Korea TR,7945,5,-0.06%,0,290348,7897,,,
덴티움,71100,700,-0.97%,500,10162,7870,420,22.97,9.16
화승엔터프라이즈,12950,350,-2.63%,500,35830,7839,403,45.6,2.46
영진약품,4240,50,-1.17%,500,592919,7755,-22,-128.48,-3.05
HANARO 200,25665,25,-0.10%,0,3556,7674,,,
쿠쿠홀딩스,107500,1000,-0.92%,500,2194,7646,679,8.21,13.68
S&T모티브,51900,100,-0.19%,5000,33199,7589,563,13.49,4.72
ARIRANG 200,25755,25,-0.10%,0,234206,7572,,,
SPC삼립,87100,700,-0.80%,5000,5368,7516,599,17.84,5.67
대한유화,115500,2000,1.76%,5000,28451,7508,3188,2.92,13.02
HDC,12500,150,-1.19%,5000,107274,7468,954,0.74,18.72
대덕전자,9530,100,-1.04%,500,385788,7434,348,1.85,
대상,21350,450,-2.06%,1000,152199,7397,1202,11.85,2.94
아모레퍼시픽우,70000,300,-0.43%,500,3717,7390,,14.54,
NICE,19500,800,-3.94%,500,78097,7387,1283,12.28,5.07
롯데하이마트,31150,500,-1.58%,5000,74231,7354,1865,8.6,2.7
한섬,29800,450,-1.49%,500,59153,7340,920,9.87,6.02
CJ CGV,34250,550,-1.58%,500,73866,7248,777,-5.15,-8.03
한세실업,18050,200,-1.10%,500,107894,7220,386,-14.22,-4.21
코스맥스,71300,1200,-1.66%,500,103206,7165,523,21.97,2.11
동아에스티,83300,1000,-1.19%,5000,9709,7034,394,87.87,0.87
미래에셋생명,3900,25,-0.64%,5000,40837,6904,1424,7.05,0.3
LIG넥스원,31250,50,0.16%,5000,97479,6875,241,153.94,0.21
영원무역홀딩스,50400,800,-1.56%,500,3067,6872,2549,7.97,5.05
SK가스,74900,600,-0.79%,5000,4301,6847,1030,11.46,1.37
락앤락,12550,800,-5.99%,500,330393,6800,365,22.65,4.16
효성티앤씨,157000,1000,-0.63%,5000,5598,6794,1251,18.49,
KODEX Top5PlusTR,12095,10,0.08%,0,232,6773,,,
한전기술,17650,200,-1.12%,200,27516,6746,215,52.22,1.69
QV 코스피 변동성 매칭형 양매도 ETN,9620,20,0.21%,0,1,6734,,,
KODEX 코스닥 150,8850,70,-0.78%,0,2551532,6730,,,
LG상사,17050,0,0.00%,5000,63725,6609,1657,-9.39,-0.72
DB하이텍,14800,100,0.68%,5000,382549,6571,1130,7.59,8.43
롯데정보통신,41950,250,0.60%,5000,47960,6459,390,19.02,3.63
KOSEF 200,25870,30,-0.12%,0,29693,6442,,,
KINDEX 200,25745,30,-0.12%,0,389160,6333,,,
TIGER MSCI Korea TR,9975,0,0.00%,0,0,6274,,,
제주항공,23750,250,-1.04%,5000,69228,6260,1012,8.83,7.74
효성첨단소재,137000,7000,5.38%,5000,257292,6138,641,-13.41,
풍산,21850,650,-2.89%,5000,54885,6123,1075,9.88,2.3
아주캐피탈,10600,50,0.47%,5000,31590,6100,1100,6.7,1.58
대신증권,11900,50,0.42%,5000,89547,6042,1585,7.33,0.77
LF,20200,150,-0.74%,5000,77628,5906,1195,7.1,5.01
동양생명,3635,55,-1.49%,5000,245510,5865,726,10.72,0.18
동국제강,6140,90,-1.44%,5000,175611,5860,1450,-1.97,-5.15
지역난방공사,50100,400,-0.79%,5000,3823,5801,145,-2.56,
현대건설기계,29050,200,-0.68%,5000,53468,5723,2087,6.36,5.27
빙그레,57600,600,-1.03%,5000,26305,5674,393,16.59,5.3
세아베스틸,15800,250,-1.56%,5000,18972,5666,559,27.01,0.68
미래에셋대우2우B,4000,10,-0.25%,5000,174985,5600,,6.94,
BGF,5820,80,-1.36%,1000,123813,5571,295,10.12,3.8
삼양식품,73300,700,-0.95%,5000,28513,5522,552,15.86,8.71
보령제약,12400,150,1.22%,500,275911,5481,250,27.02,4.76
한일현대시멘트,32200,250,-0.77%,5000,20094,5416,205,-18.38,-5.62
씨에스윈드,31300,1000,3.30%,500,77468,5410,327,91.25,1.42
대한해운,22100,50,0.23%,5000,114100,5398,1437,6.34,3.14
JW중외제약,26450,650,-2.40%,2500,63186,5374,216,72.27,1.32
동아쏘시오홀딩스,87500,800,0.92%,5000,7784,5371,505,-3.28,-12.13
세방전지,38300,150,0.39%,500,7674,5362,1113,5.55,8
LG하우시스,59600,700,-1.16%,5000,7964,5345,704,-11.22,-2.09
유안타증권,2655,40,-1.48%,5000,210401,5299,911,5.39,0.89
SK디앤디,27900,0,0.00%,1000,3372,5298,851,8.62,4.31
신영증권,56100,200,-0.36%,5000,1828,5266,1033,12.44,0.8
한국토지신탁,2070,10,-0.48%,1000,2339277,5227,1846,3.13,12.91
SK케미칼,44150,50,-0.11%,5000,28498,5184,457,95.56,-0.85
삼성화재우,162000,1000,-0.61%,500,4215,5171,,7.65,
태림포장,7290,90,-1.22%,500,3417491,5162,357,23.44,4.63
대교,6060,10,0.17%,500,22758,5133,256,33.48,2.28
경동나비엔,40150,300,-0.74%,1000,39666,5115,408,20.66,4.55
대한전선,597,9,-1.49%,500,604135,5113,495,-199,-0.47
효성화학,160000,2500,-1.54%,5000,8019,5104,650,14.47,
삼양사,49550,250,0.51%,5000,3591,5099,970,11.74,2.77
삼양홀딩스,59000,900,-1.50%,5000,6897,5053,1385,7.48,3.11
삼성 코스피 양매도 5% OTM ETN,10005,0,0.00%,0,27,5002,,,
화승인더,9000,100,-1.10%,500,93641,4979,577,24.52,2.78
한국단자,47800,700,-1.44%,500,18052,4978,462,12.57,4.56
KODEX 코스피,19585,10,0.05%,0,119509,4955,,,
롯데푸드,432500,5500,1.29%,5000,1173,4895,676,11.51,3.5
하나투어,41950,1200,-2.78%,500,193259,4873,249,55.71,1.58
TIGER TOP10,7925,5,0.06%,0,15,4854,,,
KODEX 인버스,7420,10,0.13%,0,8660974,4719,,,
금호산업,12800,0,0.00%,5000,129391,4613,423,-984.62,-0.04
고려제강,22900,500,-2.14%,1000,8924,4580,380,135.5,0.08
AK홀딩스,34450,700,-1.99%,5000,15535,4564,2697,4.27,6.52
파미셀,7600,270,-3.43%,500,590961,4557,3,-35.51,-20.96
